bank_name,bank_url,RSSDID,bank_type,branch_address
Regions Bank,http://www.regions.com,233031,bank,"800 Harrison Ave, Panama City, FL 32401"
Renasant Bank,https://www.renasant.com,749242,bank,"151 W Main St Suite 104, Pensacola, FL 32502"
Cadence Bank,https://www.cadencebank.com,606046,bank,"6836 Atlanta Hwy, Montgomery, AL 36117"
BankPlus,http://www.bankplus.net,121642,bank,"7340 S Siwell Rd, Byram, MS 39272"
Community Bank of Mississippi,https://www.communitybank.net,460033,bank,"5010 Hardy St, Hattiesburg, MS 39402"
PriorityOne Bank,https://www.priorityonebank.com,956938,bank,"1021 Highway 49 S, Richland, MS 39218"
First Bank,https://www.firstbankms.com,875936,bank,"3301 Hardy St, Hattiesburg, MS 39401"
Copiah Bank,https://WWW.COPIAHBANK.COM,398837,bank,"767 Clinton Pkwy, Clinton, MS 39056"
Truist Bank,https://www.Truist.com,852320,bank,"89 S Alcaniz St, Pensacola, FL 32502"
Origin Bank,https://www.origin.bank,667757,bank,"120 City Center Dr, Jackson, MS 39211"
